Country,AREA,Continent,REG,Region,DEV,Developed_nation,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Dominican Republic,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,,241,264,202,234,270,303,295,311,438,391,479,739,604,590
Ecuador,904,Latin America and the Caribbean,931,South America,902,Developing regions,,342,353,418,361,417,491,525,419,437,373,353,348,282,418
Egypt,903,Africa,912,Northern Africa,902,Developing regions,,1642,2595,2039,2230,2393,2496,2190,2356,3347,3496,5982,4663,5555,4165
El Salvador,904,Latin America and the Caribbean,916,Central America,902,Developing regions,,569,453,473,446,442,436,430,929,1115,845,787,691,641,639
Equatorial Guinea,903,Africa,911,Middle Africa,902,Developing regions,,4,1,2,2,2,3,4,5,1,5,4,4,4,11
Eritrea,903,Africa,910,Eastern Africa,902,Developing regions,,153,221,176,262,414,528,700,699,799,904,931,1182,1335,1719
Estonia,908,Europe,924,Northern Europe,901,Developed regions,,58,30,38,56,27,26,18,34,34,26,28,15,26,45
Ethiopia,903,Africa,910,Eastern Africa,902,Developing regions,,1074,1062,818,1399,1535,1506,1801,1512,1613,1289,1865,2163,1864,1606
Fiji,909,Oceania,928,Melanesia,902,Developing regions,,458,643,611,561,495,298,277,304,321,311,398,316,270,228
Finland,908,Europe,924,Northern Europe,901,Developed regions,,70,53,59,65,54,67,51,62,89,63,63,72,62,76
France,908,Europe,926,Western Europe,901,Developed regions,,3765,3806,3463,3568,4391,4429,4002,4290,4532,5051,4646,4080,6280,5623
Gabon,903,Africa,911,Middle Africa,902,Developing regions,,16,26,24,42,33,67,68,101,86,86,64,63,74,90
Gambia,903,Africa,914,Western Africa,902,Developing regions,,23,22,10,10,10,29,38,32,25,10,37,24,18,33
Georgia,935,Asia,922,Western Asia,902,Developing regions,,83,124,123,127,106,114,125,132,112,128,126,139,147,125
Germany,908,Europe,926,Western Europe,901,Developed regions,,1703,1456,1375,1865,2020,2226,2767,2449,3833,3887,2956,2053,1702,1217
Ghana,903,Africa,914,Western Africa,902,Developing regions,,959,782,696,564,738,851,710,688,629,659,802,528,531,517
Greece,908,Europe,925,Southern Europe,901,Developed regions,,150,135,107,117,120,100,74,110,107,119,101,102,146,298
Grenada,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,,372,354,259,222,296,283,363,360,284,325,208,173,142,170
Guatemala,904,Latin America and the Caribbean,916,Central America,902,Developing regions,,329,269,242,179,217,190,230,258,263,264,266,288,358,345
Guinea,903,Africa,914,Western Africa,902,Developing regions,,168,177,205,196,281,256,342,415,327,347,395,352,407,463
Guinea-Bissau,903,Africa,914,Western Africa,902,Developing regions,,1,3,2,6,4,7,12,7,2,0,2,2,4,0
Guyana,904,Latin America and the Caribbean,931,South America,902,Developing regions,,1308,1707,1479,1410,1341,1215,1286,1277,1137,1180,953,804,676,656
Haiti,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,,1631,2433,2174,1930,1652,1682,1619,1598,2491,2080,4744,6503,5868,4152
Honduras,904,Latin America and the Caribbean,916,Central America,902,Developing regions,,201,180,143,105,133,166,164,165,187,169,386,538,436,350
Hungary,908,Europe,923,Eastern Europe,901,Developed regions,,418,627,537,489,671,516,520,425,383,312,354,287,300,425
Iceland,908,Europe,924,Northern Europe,901,Developed regions,,9,26,11,17,23,10,2,15,13,15,30,38,42,72
India,935,Asia,5501,Southern Asia,902,Developing regions,,28572,31223,31889,27155,28235,36210,33848,28742,28261,29456,34235,27509,30933,33087
Indonesia,935,Asia,920,South-Eastern Asia,902,Developing regions,,1138,907,709,515,552,632,613,657,661,504,712,390,395,387
Iran (Islamic Republic of),935,Asia,5501,Southern Asia,902,Developing regions,,5884,6169,8129,5918,6348,5837,7480,6974,6475,6580,7477,7479,7534,11291
Iraq,935,Asia,922,Western Asia,902,Developing regions,,2591,2821,2432,1515,1796,2226,1788,2406,3543,5450,5941,6196,4041,4918
Ireland,908,Europe,924,Northern Europe,901,Developed regions,,178,190,178,192,244,224,283,300,412,395,547,525,725,1015
Israel,935,Asia,922,Western Asia,902,Developing regions,,2510,2436,2539,2314,2788,2446,2625,2401,2562,2316,2755,1970,2134,1945
Italy,908,Europe,925,Southern Europe,901,Developed regions,,383,410,374,321,334,344,325,320,370,429,434,374,440,545
Jamaica,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,,2482,2838,2524,2054,2237,1945,1722,2141,2334,2456,2321,2059,2182,2479
Japan,935,Asia,906,Eastern Asia,901,Developed regions,,1010,1092,806,817,973,1067,1212,1250,1284,1194,1168,1265,1214,982
Jordan,935,Asia,922,Western Asia,902,Developing regions,,1511,1904,1499,1614,1733,1940,1827,1421,1581,1235,1831,1635,1206,1255
Kazakhstan,935,Asia,5500,Central Asia,902,Developing regions,,450,501,418,542,545,506,408,436,394,431,377,381,462,348
Kenya,903,Africa,910,Eastern Africa,902,Developing regions,,495,651,630,678,685,693,622,449,453,489,507,585,725,664
Kiribati,909,Oceania,954,Micronesia,902,Developing regions,,1,1,0,0,0,1,0,0,1,1,0,0,2,0
Kuwait,935,Asia,922,Western Asia,902,Developing regions,,114,107,74,72,74,66,35,62,53,68,67,58,73,48
Kyrgyzstan,935,Asia,5500,Central Asia,902,Developing regions,,56,95,124,99,245,173,161,135,168,173,157,159,278,123
Lao People's Democratic Republic,935,Asia,920,South-Eastern Asia,902,Developing regions,,36,40,49,22,38,42,74,53,32,39,54,22,25,15
Latvia,908,Europe,924,Northern Europe,901,Developed regions,,130,175,156,110,94,77,69,88,67,85,70,103,202,213
Lebanon,935,Asia,922,Western Asia,902,Developing regions,,1903,2578,2332,3179,3293,3709,3802,3467,3566,3077,3432,3072,1614,2172
Lesotho,903,Africa,913,Southern Africa,902,Developing regions,,1,0,2,2,2,4,0,4,1,8,7,1,0,6
Liberia,903,Africa,914,Western Africa,902,Developing regions,,56,60,57,139,409,581,356,153,74,94,162,106,58,39
Libya,903,Africa,912,Northern Africa,902,Developing regions,,208,228,210,153,196,196,281,198,306,282,384,352,299,255
Liechtenstein,908,Europe,926,Western Europe,901,Developed regions,,0,2,0,1,0,1,0,0,1,1,0,2,1,0
Lithuania,908,Europe,924,Northern Europe,901,Developed regions,,116,183,125,194,220,167,113,108,109,63,57,52,77,145
Luxembourg,908,Europe,926,Western Europe,901,Developed regions,,5,5,17,9,9,10,9,9,3,5,8,11,6,7
Madagascar,903,Africa,910,Eastern Africa,902,Developing regions,,32,57,59,48,79,88,96,115,118,169,178,148,165,229
Malawi,903,Africa,910,Eastern Africa,902,Developing regions,,12,5,7,3,17,23,15,13,5,10,28,16,9,10
Malaysia,935,Asia,920,South-Eastern Asia,902,Developing regions,,360,460,480,419,401,593,580,600,658,640,802,409,358,204
Maldives,935,Asia,5501,Southern Asia,902,Developing regions,,1,0,1,0,1,0,0,2,1,7,4,3,1,1
Mali,903,Africa,914,Western Africa,902,Developing regions,,66,67,62,72,87,87,114,143,154,164,170,155,191,190
Malta,908,Europe,925,Southern Europe,901,Developed regions,,10,24,16,28,28,28,24,7,21,18,17,8,9,4
Marshall Islands,909,Oceania,954,Micronesia,902,Developing regions,,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Mauritania,903,Africa,914,Western Africa,902,Developing regions,,15,30,27,23,60,86,124,96,112,83,74,54,77,57
Mauritius,903,Africa,910,Eastern Africa,902,Developing regions,,199,393,348,566,702,696,512,507,714,872,1455,1146,799,1203
Mexico,904,Latin America and the Caribbean,916,Central America,902,Developing regions,,1662,1939,1894,1754,2259,2837,2844,3239,2856,3092,3865,3947,4227,3996
Monaco,908,Europe,926,Western Europe,901,Developed regions,,1,1,1,1,1,1,1,1,0,0,4,1,3,1
Mongolia,935,Asia,906,Eastern Asia,902,Developing regions,,17,17,20,28,34,59,64,82,59,118,169,103,68,99
Montenegro,908,Europe,925,Southern Europe,901,Developed regions,,0,0,0,1,0,0,0,7,19,10,14,19,26,9
Morocco,903,Africa,912,Northern Africa,902,Developing regions,,2664,4067,4174,3369,3686,2939,3322,4021,4226,5532,6242,4399,3878,3261
Mozambique,903,Africa,910,Eastern Africa,902,Developing regions,,3,2,5,3,8,5,9,5,5,12,7,3,4,12
Myanmar,935,Asia,920,South-Eastern Asia,902,Developing regions,,121,113,164,263,191,210,953,1887,975,1153,556,368,193,262
Namibia,903,Africa,913,Southern Africa,902,Developing regions,,9,9,10,7,9,6,19,13,26,14,16,23,24,83
Nauru,909,Oceania,954,Micronesia,902,Developing regions,,1,3,2,4,1,1,1,0,0,1,0,0,0,1
